330500001230016013NNNNYNNN00038162000000100000116010000MORE MENTHOL 120  02NN00000YNN00000000000000N 
330500004126228434NNNNNNYY00089000000000100000002000000WISE CHEDDAR&SC   00NN00000NNN00000000000000N 
330500008198354404NNNNYNNY00120000000000100000004950000HOLDER            00NN00000NNN00000000000000N 
330500000000100025NNNNNNNY0019300000000010000000499000020OZ CBN CR SLUSHY01NN00000NNN00000000000000N 
330500000920082261NNNNYNNY00120000000000100000003990000CARD FDAY ANYONE  00NN00000NNN00000000000000N 
330500007391771415NNNNYNNY00147000000000100000012990000BAUER SIP         00NN00000NNN00000000000000N 
330500008198354674NNNNYNNY00120000000000100000004950000HOLDER            00NN00000NNN00000000000000N 
330500000920080818NNNNYNNY00120000000000100000004290000CARD MDAY WIFE    00NN00000NNN00000000000000N 
330500007675008184NNNNNNNY40999387000000100000025000000QUAKER STEAK $25  13NN00000YNN00000000000000N 
330500008227249814NNNNYNNY00011000000000100000003990000LUNCH NAPKIN      00NN00000NNN00000000000000N 
330500076379574576NNNNYNNY00120000000000100000007990000NOTE MINI FLAT PO 00NN00000NNN00000000000000N 
330500001410004555NNNNNNYY00089363000000100000001690000PF XTR CHDR GLDFSH00NN00000NNN00000000000000N 
330500000920069859NNNNYNNY00120000000000100000002990000CARD BRTHDAY      00NN00000NNN00000000000000N 
330500072047398985NNNNYNNY00120000000000100000005990000CARD TGIVING ANYON00NN00000NNN00000000000000N 
330500072047398378NNNNYNNY00120000000000100000002590000CARD BRTHDAY SINCE00NN00000NNN00000000000000N 
330500072047391933NNNNYNNY00120000000000100000005590000CARD BRTHDAY CROWN00NN00000NNN00000000000000N 
330500000920089984NNNNYNNY00120000000000100000004990000CARD CONGRAT HALLM00NN00000NNN00000000000000N 
330500000920089044NNNNYNNY00120000000000100000004590000CARD BRTHDAY HALLM00NN00000NNN00000000000000N 
330500005464400141NNNNNNYY00053000000000100000004490000ROLL PEPPERONI    00NN00000NNN00000000000000N 
330500007095075012NNNNYNNY00011000000000100000002990000GRAPEFRUIT SPOON  00NN00000NNN00000000000000N 
330500072047385738NNNNYNNY00120000000000100000004590000CARD ANNIVER HALLM00NN00000NNN00000000000000N 
330500080000058414NNNNNNYY00068000000000100000000890000BUBBLE TAPE       00NN00000NNN00000000000000N 
330500004768512371NNNNYNNY00063000000000100000002990000PILGRIM PLAQUE    00NN00000NNN00000000000000N 
330500076379571346NNNNYNNY00120000000000100000008990000ORNAMENT RSN MIKE 00NN00000NNN00000000000000N 
330500067065602568NNNNNNNN40999631000000100000002000000JOKER'S WILD $2   00NN00000YNN00000000000000N 
330500000920076336NNNNYNNY00120000000000100000001990000CARD HALLOWN      00NN00000NNN00000000000000N 
330500007033000002NNNNYNNN00063232000000100000001490000MINI BIC LIGHTER  09NN00000YNN00000000000000N 
330500000920089171NNNNYNNY00120000000000100000008590000CARD BRTHDAY HALLM00NN00000NNN00000000000000N 
330500008930518110NNNNYNNY0001300000000010000001199000017  CLEAR BACKPK  00NN00000NNN00000000000000N 
330500077098130228NNNNNNYY00077000000000100000003990000FROSTED CKIE      00NN00000NNN00000000000000N 
330500990000000038NNYNYNNN00038000000000100000000000000CIGARETTES        02NN00000YNN00000000000000N 
330500072047395307NNNNYNNY00120000000000100000007990000CARD LOVE         00NN00000NNN00000000000000N 
330500009734200179NNNNYNNN00095000000000100000008720000GO GO SAUCE BEA   00NN00000YNN00000000000000N 
330500009256710360NNNNYNNY00147123000000100000003990000ESSENCE MAGAZINE  00NN00000NNN00000000000000N 
330500076379569824NNNNYNNY00120000000000100000010990000DCOR TABLE GIVE TH00NN00000NNN00000000000000N 
330500001154612847NNNNYNNY00063000000000100000006990000300 LGHT MULTI    00NN00000NNN00000000000000N 
330500000920034089NNNNYNNY00120000000000100000004990000CARD MDAY GRANDMOT00NN00000NNN00000000000000N 
330500003917406921NNNNNNNY00011000000000100000007990000HAT/GLOVE SET     00NN00000NNN00000000000000N 
330500074685114333NNNNYNNY00050000000000100000009990000HARVEST FLAG      00NN00000NNN00000000000000N 
330500076379572375NNNNYNNY00120000000000100000011990000ORNAMENT RSN PHTHD00NN00000NNN00000000000000N 
